,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Finish_Time_ms,Track_Condition,Track_Temp,Humidity,Position,Track,Trk Length,Team_Name,Nationality
64,ducati,700.0,3.0,10.0,2013,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,2504680.0,dry,42.0,48.0,7,ger - sachsenring,3.7,ducati team,ita
65,ducati,636.0,8.0,6.0,2013,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2605744.0,dry,23.0,70.0,7,cze - automotodrom brno,5.4,ducati team,ita
66,ducati,530.0,10.0,6.0,2013,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2688224.0,dry,31.0,56.0,8,rsm - misano world circuit marco simoncelli,4.2,ducati team,ita
67,ducati,968.0,7.0,10.0,2013,15.0,167.0,116.8,17.0,andrea dovizioso,12.598360655737705,2564130.0,dry,30.0,43.0,8,ara - motorland aragón,5.1,ducati team,ita
68,ducati,920.0,10.0,5.0,2013,16.0,164.0,110.9,15.0,andrea dovizioso,12.598360655737705,2490302.0,dry,44.0,58.0,8,mal - sepang international circuit,5.5,ducati team,ita
69,ducati,762.0,8.0,6.0,2013,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2597235.0,dry,31.0,33.0,10,jpn - twin ring motegi,4.8,ducati team,ita
70,ducati,876.0,5.0,9.0,2013,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2823498.0,dry,26.0,28.0,9,val - circuit ricardo tormo,4.0,ducati team,ita
71,yamaha,1068.0,10.0,6.0,2012,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2581634.0,dry,23.0,53.0,5,qat - losail international circuit,5.4,monster yamaha tech 3,ita
72,yamaha,607.0,8.0,6.0,2012,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2751997.0,dry,15.0,78.0,5,spa - circuito de jerez,4.4,monster yamaha tech 3,ita
73,yamaha,674.0,9.0,5.0,2012,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,3039502.0,wet,19.0,96.0,7,fra - le mans,4.2,monster yamaha tech 3,ita
74,yamaha,1047.0,8.0,6.0,2012,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2597042.0,dry,40.0,49.0,3,cat - circuit de barcelona-catalunya,4.6,monster yamaha tech 3,ita
75,yamaha,487.0,12.0,6.0,2012,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2491849.0,dry,37.0,44.0,3,ned - tt circuit assen,4.5,monster yamaha tech 3,ita
76,yamaha,700.0,3.0,10.0,2012,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,2509065.0,dry,37.0,47.0,3,ger - sachsenring,3.7,monster yamaha tech 3,ita
77,yamaha,636.0,8.0,6.0,2012,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2590161.0,dry,23.0,79.0,4,cze - automotodrom brno,5.4,monster yamaha tech 3,ita
78,yamaha,530.0,10.0,6.0,2012,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2575894.0,dry,36.0,56.0,4,rsm - misano world circuit marco simoncelli,4.2,monster yamaha tech 3,ita
79,yamaha,968.0,7.0,10.0,2012,15.0,167.0,116.8,17.0,andrea dovizioso,12.598360655737705,2541491.0,dry,23.0,51.0,3,ara - motorland aragón,5.1,monster yamaha tech 3,ita
80,yamaha,762.0,8.0,6.0,2012,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2567966.0,dry,23.0,55.0,4,jpn - twin ring motegi,4.8,monster yamaha tech 3,ita
81,yamaha,920.0,10.0,5.0,2012,16.0,164.0,110.9,15.0,andrea dovizioso,12.598360655737705,1858038.0,wet,31.0,96.0,13,mal - sepang international circuit,5.5,monster yamaha tech 3,ita
82,yamaha,876.0,5.0,9.0,2012,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2994242.0,wet,15.0,81.0,6,val - circuit ricardo tormo,4.0,monster yamaha tech 3,ita
