,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms
71,68,1047.0,8.0,6.0,2012,12.0,164.4,111.0,14.0,31,12.875862068965517,0,40.0,49.0,3,2597042.0
72,68,487.0,12.0,6.0,2012,14.0,173.1,118.1,18.0,31,12.875862068965517,0,37.0,44.0,9,2491849.0
73,68,700.0,3.0,10.0,2012,12.0,160.6,110.1,13.0,31,12.875862068965517,0,37.0,47.0,6,2509065.0
74,68,636.0,8.0,6.0,2012,15.0,165.5,113.5,14.0,31,12.875862068965517,0,23.0,79.0,4,2590161.0
75,68,530.0,10.0,6.0,2012,14.0,162.6,114.1,16.0,31,12.875862068965517,0,36.0,56.0,11,2575894.0
76,68,968.0,7.0,10.0,2012,15.0,167.0,116.8,17.0,31,12.875862068965517,0,23.0,51.0,1,2541491.0
77,68,762.0,8.0,6.0,2012,15.0,162.2,115.2,14.0,31,12.875862068965517,0,23.0,55.0,7,2567966.0
78,68,876.0,5.0,9.0,2012,12.0,139.8,108.1,14.0,31,12.875862068965517,1,15.0,81.0,13,2994242.0
79,24,1068.0,10.0,6.0,2011,12.0,166.6,118.4,16.0,31,12.875862068965517,0,20.0,31.0,10,2564511.0
80,24,674.0,9.0,5.0,2011,13.0,161.8,113.0,14.0,31,12.875862068965517,0,29.0,35.0,5,2658169.0
81,24,1047.0,8.0,6.0,2011,12.0,164.4,111.0,14.0,31,12.875862068965517,0,25.0,49.0,3,2605034.0
82,24,487.0,12.0,6.0,2011,14.0,173.1,118.1,18.0,31,12.875862068965517,0,16.0,82.0,9,2532165.0
83,24,700.0,3.0,10.0,2011,12.0,160.6,110.1,13.0,31,12.875862068965517,0,29.0,49.0,6,2482995.0
84,24,636.0,8.0,6.0,2011,15.0,165.5,113.5,14.0,31,12.875862068965517,0,37.0,37.0,4,2603328.0
85,24,530.0,10.0,6.0,2011,14.0,162.6,114.1,16.0,31,12.875862068965517,0,35.0,62.0,11,2669267.0
86,24,762.0,8.0,6.0,2011,15.0,162.2,115.2,14.0,31,12.875862068965517,0,29.0,55.0,7,2591172.0
87,24,876.0,5.0,9.0,2011,12.0,139.8,108.1,14.0,31,12.875862068965517,1,16.0,49.0,13,2904581.0
88,24,1068.0,10.0,6.0,2010,12.0,166.6,118.4,16.0,31,12.875862068965517,0,26.0,30.0,10,2571964.0
89,24,607.0,8.0,6.0,2010,11.0,161.2,110.6,14.0,31,12.875862068965517,0,44.0,30.0,12,2740682.0
90,24,674.0,9.0,5.0,2010,13.0,161.8,113.0,14.0,31,12.875862068965517,0,51.0,21.0,5,2676986.0
91,24,487.0,12.0,6.0,2010,14.0,173.1,118.1,18.0,31,12.875862068965517,0,48.0,23.0,9,2493952.0
92,24,1047.0,8.0,6.0,2010,12.0,164.4,111.0,14.0,31,12.875862068965517,0,49.0,17.0,3,2695207.0
93,24,530.0,10.0,6.0,2010,14.0,162.6,114.1,16.0,31,12.875862068965517,0,39.0,43.0,11,2668513.0
94,24,762.0,8.0,6.0,2010,15.0,162.2,115.2,14.0,31,12.875862068965517,0,34.0,44.0,7,2596134.0
95,24,920.0,10.0,5.0,2010,16.0,164.0,110.9,15.0,31,12.875862068965517,0,43.0,27.0,8,2463672.0
96,24,876.0,5.0,9.0,2010,12.0,139.8,108.1,14.0,31,12.875862068965517,0,27.0,33.0,13,2823782.0
97,24,1068.0,10.0,6.0,2009,12.0,166.6,118.4,16.0,31,12.875862068965517,0,26.0,79.0,10,2601247.0
98,24,762.0,8.0,6.0,2009,15.0,162.2,115.2,14.0,31,12.875862068965517,0,31.0,25.0,7,2636445.0
99,24,607.0,8.0,6.0,2009,11.0,161.2,110.6,14.0,31,12.875862068965517,0,45.0,31.0,12,2753182.0
100,24,674.0,9.0,5.0,2009,13.0,161.8,113.0,14.0,31,12.875862068965517,1,19.0,58.0,5,2893133.0
101,24,1047.0,8.0,6.0,2009,12.0,164.4,111.0,14.0,31,12.875862068965517,0,46.0,12.0,3,2600833.0
102,24,636.0,8.0,6.0,2009,15.0,165.5,113.5,14.0,31,12.875862068965517,0,45.0,32.0,4,2610409.0
103,24,530.0,10.0,6.0,2009,14.0,162.6,114.1,16.0,31,12.875862068965517,0,41.0,32.0,11,2699212.0
104,24,876.0,5.0,9.0,2009,12.0,139.8,108.1,14.0,31,12.875862068965517,0,29.0,24.0,13,2845917.0
